y0_z,h,norm_err_x,norm_err_y,norm_err_z
1.0,0.01,8.380921432466911,9.575453128759937,7.1467244205739675
1.0,0.005,7.9544160465307625,8.856210463127587,8.129551805338213
1.0,0.002,7.800801302632038,8.851911886103043,8.021972786773908
1.0,0.001,5.95434562878221,6.9156440832524035,5.589987315449163
1.00001,0.01,8.369264333954403,9.742407381996658,9.50872255887072
1.00001,0.005,7.348043169088809,8.330317368798449,8.465877175551666
1.00001,0.002,7.537344844922821,8.68175118419089,8.126978304190944
1.00001,0.001,6.1298811304100305,7.308507554696958,7.907328047249274
1.0000001,0.01,9.190674898022102,10.433188759027292,6.779065944072146
1.0000001,0.005,7.330363172702678,8.443860579517994,7.530758341441262
1.0000001,0.002,6.784889349223475,7.798483043799449,4.246333479124968
1.0000001,0.001,7.131069317756896,8.249768689419652,5.117146484884022
