y0_z,h,norm_err_x,norm_err_y,norm_err_z
1.0,0.01,12.075053023017224,13.259625811442717,11.01365683162068
1.0,0.005,10.430650485993276,11.910552787127761,11.159816573214142
1.0,0.002,9.179214932367547,10.592849638305577,11.286854713171643
1.0,0.001,9.784218928130697,11.253682971952186,11.564790291521817
1.00001,0.01,11.070746264046331,12.438080365446337,10.548496737533855
1.00001,0.005,9.726364642275568,11.121573757709244,11.315023537159707
1.00001,0.002,8.810523570606618,10.156930299833052,11.543600189814269
1.00001,0.001,9.987197480598931,11.21674400173217,10.020695621811003
1.0000001,0.01,11.550050140525785,12.735840640076281,10.659946930490744
1.0000001,0.005,10.83005420668692,12.209165373006075,11.57954619468605
1.0000001,0.002,9.846593177365795,11.312937631434707,10.311076913166188
1.0000001,0.001,10.281021702330824,11.68033236144846,10.72318403377799
